事;thing
終わり;end
雑誌;magazine
怒る;get angry
建物;building
止まる;stop
一生懸命;hard, as hard as one can
変;strange, unusual, funny
十二月;December
学ぶ;learn
突然;suddenly
首;neck, head
ゆっくり;slowly, leisurely
目指す;aim, go toward
一月;January
成す;form, constitute
集める;gather, collect
失う;lose
光;light
並ぶ;line, stand in line
八月;August
七月;July
美しい;beautiful
五月;May
優しい;gentle, tender, kind, friendly
タバコ;cigarette, tobacco
後ろ;behind, back
六月;June
異なる;be different
十一月;November
新た;another
飛行機;airplane
（お）ばあさん;old lady
至る;lead to, get
午前;morning, a.m.
育てる;bring up, train, develop
種類;kind, sort, variety
商品;goods, item of merchandise
生じる;bring about, cause, arise
イギリス;United Kingdom, Britain, England
大好き;love
語る;talk, tell
胸;chest, heart
頼む;ask, order
材料;materials, ingredient
広がる;spread, stretch
きちんと;precisely, accurately, neatly
勝つ;win, defeat
捨てる;throw away, abandon
通す;pass, show ... into
横;side, beside
伴う;accompany, involve
命;life
流れ;stream, flow, current
育つ;grow up
決して;never, by no means
馬;horse
完全;perfect, complete
学生;student
風;wind
性格;character, personality
死;death
おかしい;funny, amusing
近所;neighborhood
一本;one (long/cylindrical object)
張る;stretch, put up
ご飯;rice, meal
海外;overseas, abroad, foreign
実は;actually, in fact
許す;allow, permit, forgive
表;table, chart
文化;culture
八;eight
食べ物;food
借りる;borrow, rent
二月;February
月;month
世の中;world, society
インターネット;Internet
春;spring
旅;trip, journey
二年;two years
寒い;cold
年;year
同様;similar, same
一般;general
第一;first
三年;three years
申す;say, be (humble)
押す;push, press
責任;responsibility
負ける;lose, be beaten
技術;technique, skill
一般的;general, common, ordinary
そば;side, beside
減る;decrease, become less
記事;article
本人;person himself/herself, person in question
焼く;roast, bake
たまに;occasionally, once in a while
慣れる;get used to
出会う;meet, come across
自ら;personally, oneself, own
私自身;myself, my own
たび;every time
付き合う;associate with, go out with, go along with
半分;half
条件;condition
医者;doctor
振る;wave, shake, swing
関心;interest
秋;autumn, fall
明るい;bright, light
趣味;hobby
生徒;student, pupil
従う;obey, follow
占める;occupy, account for
まさに;exactly
選手;player, athlete
以下;below, the following
大きさ;size
分;, n. part, share, portion
実家;one’s parents’ home
むしろ;rather, if anything
作成（する）;, v. make, create
名;name
まるで;just like, quite
運ぶ;carry, transport, move
正しい;right, accurate, proper
ほぼ;about, nearly, almost
表わす;show, express, symbolize
毎年;, n. every year, annually
文字;letter, character, writing
空;sky, air
明日;, n. tomorrow
役割;part, role
地球;earth, globe
公園;park
個人;individual
消える;go off
激しい;fierce, intense, severe
短い;short
薬;medicine
試合;match, game, bout
おなか;stomach, belly
ボール;ball
少年;boy, juvenile
方向;direction, course
遅い;late
資料;document, material, data
扱う;deal with, handle, treat
ヨーロッパ;Europe
除く;remove
ご存じ;know, knowing (honorific)
意外;unexpected, surprising
一週間;one week
何回;how many times
政府;government
分ける;divide, distribute
段階;grade, stage, step
量;quantity, volume, amount
田舎;countryside
スポーツ;sports
感覚;sense
地元;home area, local area
勝手;on one’s own, at one’s convenience
さすが;as might be expected, as one would expect
寂しい;lonely, lonesome
再び;again, once more
利く;act, work
勤める;be employed, work for
吸う;breathe in, sip, smoke
流す;flush
急;urgent, sudden
勧める;encourage, recommend
年齢;age, years
フランス;France
仕方;way, method
なし;without, no
疲れる;get tired
落とす;drop, lose, turn down
人気;popularity
弱い;weak, faint, light
まとめる;summarize, settle, gather
格好;appearance, shape, look
渡る;cross, go across
患者;patient, case
壁;wall, barrier
道路;road, way, street
参る;go, come, visit (humble)
他人;others, unrelated person, stranger
空気;air, atmosphere
去年;, n. last year
肩;shoulder
知れる;come out, come to light, be discovered
匂い;smell, odor, scent
銀行;bank
十年;ten years, decade
右;right
全体;total, whole, entire
話題;topic, subject
雪;snow
ポイント;point
仲間;company, fellow, mate, group
知識;knowledge, information
多少;, n. more or less
緑;green
狭い;narrow, small
一時間;one hour
いきなり;suddenly, without notice
マンション;apartment, condominium, flat
伯父;uncle
時々;sometimes, once in a while, on occasion
産む;give birth
降る;fall, come down
野菜;vegetable
自分自身;oneself
落ち着く;settle, calm down
いまだ;still, yet, so far
血;blood
応ずる;answer, respond, accept
涙;tear
表情;expression, facial expression, look
ああ;like that
逃げる;run away, escape
楽;comfort, ease, comfortable
やがて;soon, before long, after all
かつて;once, before, ever, former
ごみ;rubbish, garbage, trash
警察;police
兄;elder brother
くれる;give
代わり;substitute, replacement, alternative
外国;foreign country
細かい;small, fine
静か;quiet, silent
腰;back, lower back, waist, hip
瞬間;, n. moment, instant, second
近付く;approach, get closer to
暗い;dark
届く;reach, arrive
窓;window
ストレス;stress
伸ばす;extend, lengthen
ドア;door
森;forest, woods, grove
目標;goal, objective, target
本来;, n. originally, essentially, by nature, proper
重い;heavy, important
腕;arm
当たり前;natural, usual, common, ordinary
時点;point of time, as of
１日;first (date)
忙しい;busy, occupied
おく;at
愛する;love, care
遠い;far, distant
押さえる;press down, hold
課題;subject
見付かる;be found, be discovered
うそ;lie, falsehood
仰る;say, tell, speak (honorific)
施設;facility, institution, plant
一ヶ月;one month
事業;business, enterprise, project
データ;data
役;part, role, duty
伸びる;grow, stretch, extend
通常;, n. normally, ordinary, regular
ピアノ;piano
行為;action
悩む;be worried, be troubled, suffer
当てる;hit, put, expose, guess
出来事;event, affair, happening
温かい;warm, genial
おかげ;thanks, virtue
眺める;see, view, gaze
いかに;how, in what way
極めて;very, extremely
積極的;active, positive, aggressive
事故;accident, incident, trouble
たたく;slap, hit, knock, clap
方々;people
要る;need, want
鳥;bird
市;city, town
眠る;sleep
自信;confidence
固い;hard, solid, stiff
戦後;, n. postwar, after the war
値段;price, value, cost
通じる;lead
動かす;move, shift, operate
トイレ;toilet, restroom, bathroom
避ける;avoid, keep away from
野球;baseball
穴;hole, pit
捕らえる;catch, grasp, seize, arrest
昨年;, n. last year
洗う;wash
左;left
珍しい;rare, unusual, unique
尋ねる;ask, look for
一言;one word, single word, brief comment
男の子;boy, male child
制度;system, institution
チーム;team
期間;period, term, interval
金額;amount of money
塩;salt
奥;inner part, back
まだまだ;still, still more
習う;take lessons, be taught, learn
番組;show, program
一時;, n. at one time, temporary, for a while
ケース;case
傾向;tendency, trend, inclination
レベル;level
よろしく;well, properly, best regards
疑問;question, problem, doubt
それなり;in itself, as it is, in its way
現状;present condition, existing state
ドイツ;Germany
取り上げる;pick up, adopt
主に;mainly, for the most part, chiefly
伯母;aunt
パン;bread
クラス;class
肉;meat, flesh, fat
なるべく;as ... as possible, if possible
指;finger
態度;attitude, manner, behavior
地;earth, ground, land, place
全国;nationwide, whole country, national
答え;answer, solution
差;difference, gap, margin
一切;, n. all, entirely, not ... at all
食う;eat, consume
文章;sentence
背景;background, context, setting
事情;circumstance, situation, reason
メンバー;member, participant
ようやく;at last, gradually, barely
地方;area, district, countryside
豊か;abundant, plentiful, rich
助ける;help, rescue, save
詰まる;be blocked, be packed, be clogged
一個;one, piece
大阪;Osaka
果たす;carry out, achieve, fulfil
支える;support, hold, sustain
抱える;hold, carry, employ
大分;very, a lot, much
追う;follow, chase, pursue
権利;right, claim, entitlement
痛み;pain, ache
返す;return
庭;garden, yard
能力;ability, capacity, power
人口;population
薄い;thin, light, weak
注;note, annotation, comment
二回;twice
昼;noon
せっかく;with effort, take the trouble to
赤い;red
比較的;comparative, relative
何人;how many people
荷物;baggage, parcel, burden
魅力;charm, attraction, appeal
現場;field, scene, spot
道具;tool, instrument
中学;junior high school
村;village
システム;system
十時;ten o’clock
息;breath, respiration
伝わる;spread, descend, travel
生かす;keep alive
韓国;Korea, South Korea, Republic of Korea
字;letter, character
価値;value, worth
南;south
季節;season
一枚;one (sheet, slice)
先輩;senior, elder
全員;, n. all members, everyone
四人;four people
人物;person, character
距離;distance
泊まる;stay
散歩（する）;, v. walk, stroll
グループ;group, team
黒い;black
九時;nine o’clock
石;stone, rock
エネルギー;energy, power
愛;love, affection
結ぶ;tie, connect, unite
移る;move, transfer, shift
従来;, n. up to now, conventional, traditional
嫌い;dislike, hate
休む;take a rest, be absent from
甘い;sweet
最高;, na-adj. best, highest
弟;younger brother
卵;egg, spawn
服;clothes, dress, outfit
赤ちゃん;baby, infant
始め;, n. beginning, origin
紙;paper
妹;younger sister
額;amount of money
交ぜる;mix, shuffle
抱く;have, hold, embrace
出来上がる;be completed, be finished, be ready
小説;novel, fiction, story
訪れる;visit, call on, arrive
汗;sweat, perspiration
特別;special, particular
休み;holiday
咲く;bloom
基本;foundation, basis, basic
暑い;hot, warm
向く;turn, face, look
ますます;more and more, increasingly
最終的;final, last, ultimate
感情;feeling, emotion
浮かぶ;float, rise
利益;profit, benefit, gain
先日;, n. the other day, recently
裏;reverse, back
もたらす;bring, cause,
姉;elder sister
問う;ask, question
継ぐ;succeed, take over
北海道;Hokkaido
ナイフ;knife
（お）じいさん;grandfather
新宿;Shinjuku (place name)
黒;black
スーパー;supermarket
プロ;professional, pro
渡す;carry across, hand, transfer
掲げる;hang out, hold up
京都;Kyoto
立派;fine, splendid, great
舞台;stage, scene
現地;field, on-site, local
数字;number, figure
コンピュータ;computer
東京都;Tokyo, Tokyo metropolitan government, Tokyo metropolitan area
弾く;play (musical instrument)
自宅;home, house
腹;belly, stomach
喜び;pleasure, delight
しようがない;it can’t be helped, nothing can be done
風呂;bath
香り;smell, scent
スキー;ski
構う;mind, care about
受け入れる;receive, accept, agree
お菓子;sweets, snack food
無料;free, no charge
付き合い;association, acquaintance
被害;damage, harm
椅子;chair
直す;fix, repair, mend
桜;cherry tree
ゲーム;game
個人的;private, personal, individual
身近;familiar, close
苦しい;painful, hard, difficult
恥ずかしい;ashamed, embarrassed
金;gold, money
ただ;just, mere, only
皮;skin, hide, jacket
白;white
足りる;be sufficient, be enough, be worthy
夕方;, n. evening
下がる;fall, drop, step back
有する;have
抜く;pull, extract
回す;turn, rotate, spin
敵;enemy, opponent
側;side
分かれる;divide, split, part
見つめる;stare, gaze
祭り;festival
抜ける;fall out
仕様;style, specification, method
最大;biggest, largest
沖縄;Okinawa
設ける;institute, set up
幼稚園;preschool, kindergarten
二度;twice
あくまで;only, to the last
分野;field, discipline
間違う;be wrong, make a mistake
姿勢;posture, attitude
ショック;shock
暇;, n. free, not busy
つい;without thinking, unintentionally
土;soil
隠す;hide, conceal
帰り;return
三日;third (date)
戦う;fight
単に;just, simply
席;seat
つる;hang
達する;reach
小学生;elementary school pupil, primary school pupil
ついに;at last, finally
具合;condition
歯;tooth
ベッド;bed
身体;body
何年;what year, how many years
星;star
携帯電話;cell phone
砂糖;sugar
切れる;expire, run out
高さ;height
太陽;sun
会場;hall
素敵;lovely, nice, wonderful
湯;hot water
そもそも;, n. in the first place
ワイン;wine
高校生;high school student
イベント;event
二日;second (date)
売れる;sell
少なくとも;at least
米国;United States
周囲;surroundings
伺う;ask, inquire
引っ越す;move (house)
二十年;twenty years
たまる;accumulate, build up
精神的;spiritual
中学校;junior high school
仲良く;friendly
言い方;way to say
バランス;balance
五年;five years
我が家;one’s house, one’s family, one’s home
見かける;see
広げる;spread, expand
参考;reference
たとえ;even if
受け取る;get, accept
冷たい;cold
望む;hope
宗教;religion
一年間;one year
範囲;extent, range
接する;adjoin, come in contact
戻す;put back, restore
すっかり;entirely, completely
政治;politics
なんら;nothing
取り組む;tackle, deal with
余裕;leeway
パリ;Paris
奥さん;wife
遅れる;be late, be delayed
機械;machine
CD (CD);CD, compact disk
寄る;stop by
都市;city
費用;cost
生地;cloth, material
一層;, n. more
旦那;husband
経る;pass through, experience
揃う;become complete
下げる;lower
誘う;invite
重ねる;stack
価格;price
飾る;decorate
がん;cancer.
土;Saturday
週;week
細い;thin, narrow, slender
直る;be repaired
単純;simple
アルバイト;part-time job
北;north
一生;life
ファン;fan
及ぶ;reach
後;, adv. after, later
調子;condition, tone
基準;standard
植物;plant
契約（する）;, v. contract
組む;pair with
叫ぶ;shout
若者;youth
手段;means
下ろす;take down
明治;Meiji period
マンガ;comics, cartoon
ドラマ;TV drama, drama
いよいよ;finally, at last
高齢者;senior citizen
髪;hair
サッカー;football, soccer
工場;factory
正確;correct, exact, accurate
夫婦;(married) couple
鍋;pan, pot
バイト;part-time job
１０分;ten minutes
外す;undo
何でも;anything
階段;stairs
オーストラリア;Australia
適当;proper, appropriate, suitable
戦い;fight, battle
挟む;put in, sandwich between
鼻;nose
会;meeting, gathering
数年;several years
現代;the present age, today
コーヒー;coffee
塗る;spread
老人;old person, the old
共通（する）;, v. common
一瞬;, adv. a moment, an instant
翌日;next day
しまう;put away
商店街;shopping street
原則;principle
諦める;give up, quit
場面;scene, sight
障害;obstacle, handicap
やや;a little, slightly
一定（する）;, v. a certain, fixed, constant
いかが;how
上手;good, skillful
笑顔;smile
真ん中;middle
ビール;beer
正月;New Year
わざわざ;take the trouble, especially
あふれる;overflow, be filled with
葉;leaf
種;kind, species
つかむ;catch, grasp
締める;tie
ラジオ;radio
入る;come in, enter
じっと（する）;, v. still, fixedly, intently
うなずく;nod
餌;feed
背中;back
両方;both
床;floor
囲む;surround
並べる;arrange
黙る;hold one’s tongue, become silent
風景;scenery, landscape
社長;company president
目立つ;be conspicuous, stand out
確実;certain, sure
経済;economy
増やす;increase, add
温泉;hot spring, spa
触る;touch
教室;classroom, ... school
長さ;length
資格;qualification
明確;clear, definite
肌;skin
倒れる;fall (down), collapse
症状;symptom
優れる;be superior
職場;workplace
取り出す;take out, extract
骨;bone
間違い;mistake, error
偉い;great, big
くださる;give (honorific)
熱い;hot, heated
当日;that day, current day
残り;rest, remainder
握る;hold, grasp, clasp
出会い;encounter
体重;(body) weight
上司;boss
結論;conclusion
テーブル;table
盛ん;popular
急ぐ;hurry
ともかく;in any case, anyway
犯人;criminal, culprit
熱;fever
犯罪;crime, offense
遊び;play, game
教師;teacher
横浜;Yokohama
脳;brain
レストラン;restaurant
そろそろ;soon
日曜日;Sunday
兄弟;brother
楽器;musical instrument
保つ;keep, maintain
自動車;car
カメラ;camera
寺;temple
ビデオ;video
適切;suitable, proper
底;bottom
刺激（する）;, v. stimulate, incite, excite
勢い;speed
吹く;blow
今日;today, these days
迷う;get lost
背;stature
生;raw
訴える;sue
精神;mind, spirit
対する;toward, against
地震;earthquake
人類;human race, mankind
空間;space
複雑;complicated, complex
高める;raise
以外;except
観点;viewpoint, standpoint
努める;make efforts
二時間;two hours
きつい;tight
祖母;grandmother
大抵;usually
狙う;aim at
知り合い;acquaintance
迫る;approach, draw near
どうぞ;please
消す;put out, turn off
唯一;, adv. only
連中;company, crowd
青い;blue
前提;assumption, premise
未来;future
立ち上がる;stand up, rise
同;same
なくす;lose
有効;valid
次々;one after another
国内;domestic, home
ふと;casually
四年;four years
無視（する）;, v. neglect, ignore
一気;, n. at a stretch, in one gulp
手続き;procedure, formalities
波;wave
仲;relations, terms
中学生;junior high school student
イタリア;Italy
のぞく;look through, look down
汚い;dirty
畑;field (for fruit, vegetables)
履く;put on, wear
膝;knee, lap
業務;business, work
かわいそう;pitiful, miserable
画像;picture, image
孫;grandchild
つなぐ;connect, tie
包む;wrap
思い切る;give up
事態;situation
夜中;middle of the night
改める;change
両手;both hands, both arms
結婚式;wedding ceremony
虫;insect, bug
バイク;motorcycle, motorbike
かく;scratch
痩せる;become thin, lose weight
親父;father
試す;try, attempt
終える;finish, end
遥か;faraway, far
医師;doctor
バンド;band
体力;physical strength
国家;state, country, nation
長男;eldest son
0;zero
さっき;, n. a little while ago
ごく;very
CM (CM);commercial
チャンス;chance
別れる;part
昼間;daytime
要;in short
収める;obtain, gain
強化（する）;, v. tighten, strengthen
主婦;housewife
徐々;gradually
メーカー;maker, manufacturer
あり得る;be possible, be likely, be probable
記す;write down
保険;insurance
感想;feeling, impression
景色;scenery, view, scene
味わう;taste, savor
アジア;Asia
インド;India
電気;electricity
癖;habit, peculiarity
あり方;way something ought to be, state of things
好み;liking, taste
はまる;fit
早速;at once, lose no time in doing
支払う;pay
市民;resident (of a city), citizen
メリット;merit, advantage
近年;in recent years
分かりやすい;easy to understand
製品;product
果たして;really
得意;n. be good at, be proud
二週間;two weeks
問い合わせ;inquiry
何だか;somewhat
過程;process
仕組み;structure, mechanism
慌てる;be flustered, be in a hurry
油;oil
半年;half a year
視線;eyes, gaze, look
構造;structure
筋肉;muscle
少々;a little, a minute
対策;measure
濃い;thick
図書館;library
靴;shoe
おそれ;fear, danger
二階;second floor
あえて;dare
三回;three times
太る;get fat, gain weight
街;town, city
いったん;once
取り入れる;take in
モテる;be popular
都会;city
大量;, na-adj. large quantity, a lot
炒める;fry, stir-fry
投げる;throw
玄関;entrance, front door
一種;kind, sort, species
世代;generation
申し込み;application
高まる;rise, heighten, grow
沸く;boil
必死;desperate
真剣;serious
画面;screen
米;rice
成果;result, product
物語;tale, story
日時;date and time
来年;next year
巻く;roll up, wind up
必ずしも;not necessarily, not always
はやる;be fashionable, be popular, go around
恐ろしい;terrible, frightful, amazing, awful
中身;contents
スピード;speed
一歩;step
牛乳;(cow’s) milk
踏まえる;be based on
箱;box, case
テニス;tennis
アパート;apartment
住民;inhabitant, resident
ギター;guitar
要素;element, factor
泳ぐ;swim
大勢;a large number of, many
習慣;custom, habit
込める;put into, pour into
風邪;cold
踊る;dance
タクシー;taxi
教会;church
五時;five o’clock
（お）弁当;lunch box
方達;people (honorific)
久しぶり;after a long time
とたん;as soon as
要する;need, take
幅;width, breadth
