como; how  
ouro; gold  
possível; possible  
avião; plane  
seca; dry  
risar; laugh  
mil; thousand  
atrás; ago  
ran; ran  
verificar; check  
jogo; game  
equiparar; equal  
senhoritar; miss  
trazer; bring  
calor; heat  
never; snow  
pneu; tire  
sim; yes  
distante; distant  
preencher; fill  
leste; east  
pintar; paint  
linguagem; language  
unidade; unit  
multa; fine  
voar; fly  
cair; fall  
conduzir; lead  
gritar; cry  
escuro; dark  
máquinar; machine  
nota; note  
esperar; wait  
plano; plan  
figurar; figure  
estrela; star  
caixa; box  
substantivo; noun  
campo; field  
resto; rest  
correto; correct  
capaz; able  
librar; pound/free  
done; done  
beleza; beauty  
conter; contain  
frente; front  
ensinar; teach  
semana; week  
final; final  
verde; green  
rápido; quick  
desenvolver; develop  
oceano; ocean  
livre; free  
minuto; minute  
forte; strong  
especial; special  
mentir; lie  
claro; clear  
caudar; tail  
produzir; produce  
fato; fact  
espaço; space  
hora; hour  
verdade; truth  
durante; during  
cem; hundred  
cinco; five  
passo; step  
cedo; early  
segurar; hold  
oeste; west
solo; ground  
juro; interest  
alcançar; reach  
verbor; verb  
cantar; sing  
ouça; listen  
seis; six  
mesa; table  
viagem; travel  
manhã; morning  
dez; ten  
simples; simple  
vários; several  
vogal; vowel  
direção; toward  
guerra; war  
lay; lay  
contra; against  
padrão; pattern  
lento; slow  
centro; center  
amo; love  
dinheiro; money  
servir; serve  
aparecer; appear  
estrada; road  
mapa; map  
chuva; rain  
regrar; rule  
governar; govern  
puxer; pull  
frio; cold  
aviso; notice  
voz; voice  
energia; energy  
caça; hunt  
provável; probable  
camar; bed  
irmão; brother  
ovo; egg  
passeio; ride  
celular; cell  
acreditar; believe  
talvez; perhaps  
escolher; pick  
súbito; sudden  
contar; count  
quadrado; square  
razão; reason  
comprimento; length  
arte; art  
assunto; subject  
região; region  
tamanho; size  
variar; vary  
resolver; settle  
falar; speak  
peso; weight  
geral; general  
gelo; ice  
círculo; circle  
par; pair  
incluir; include  
dividir; divide  
sílabo; syllable  
sentido; felt  
bola; ball  
ondar; wave  
coração; heart  
presente; present  
pesar; heavy  
dançar; dance  
motor; engine  
posição; position  
braço; arm  
amplo; wide  
vela; sail  
material; material  
fração; fraction  
floresta; forest  
corrida; race  
janela; window  
loja; store  
sono; sleep  
provar; prove  
solitário; lone  
pernar; leg  
exercício; exercise  
parede; wall  
captura; catch  
mount; mount  
desejo; wish  
céu; sky  
conselho; board  
alegrio; joy  
inverno; winter  
sat; sat  
selvagem; wild  
instrumento; instrument  
guardar; keep  
vidro; glass  
grama; grass  
vaco; cow  
bordar; job  
sinal; edge/sign  
visitar; visit  
passado; past  
suave; soft  
diversão; fun  
brilhante; bright  
gás; gas  
mês; month  
milhão; million  
suportar; bear  
acabamento; finish  
feliz; happy
esperamos; hope  
flor; flower  
vestir; clothe  
estranho; strange  
gone; gone  
comércio; trade  
melodia; melody  
escritório; office  
receber; receive  
bocar; mouth  
exato; exact  
símbolo; symbol  
morrer; die  
dificuldade; trouble  
exceto; except  
semente; seed  
tom; tone  
sugerir; suggest  
limpar; clean  
pausar; break  
senhor; lady  
quintal; yard  
subir; rise  
ruim; bad  
golpe; blow  
óleo; oil  
sangue; blood  
tocar; touch  
cento; cent  
misturar; mix  
equipe; team  
fio; wire  
custar; cost  
perder; lost  
marrom; brown  
desgaste; wear  
jardim; garden  
igual; equal  
enviar; send  
caber; fit  
fluir; flow  
feira; fair  
banco; bank  
recolher; collect  
salvar; save  
controle; control  
decimal; decimal  
bastante; quite  
quebrar; broke  
caso; case  
meio; middle  
matar; kill  
filho; son  
lago; lake  
momento; moment  
escalar; climb  
primavera; spring  
observar; observe  
reta; straight  
consoante; consonant  
nação; nation  
dicionário; dictionary  
leite; milk  
velocidade; speed  
método; method  
órgão; organ  
pagar; pay  
idade; age  
seção; section  
nuvir; cloud  
surpresa; surprise  
calmo; quiet  
pedra; stone  
minúsculo; tiny  
subido; climb(ed)  
legal; cool/lawful  
projeto; design  
pobre; poor  
experiência; experiment  
inferior; bottom  
chave; key  
ferro; iron  
único; single  
varo; stick/rod  
vinte; twenty  
pele; skin  
sorriso; smile  
vinco; crease  
buraco; hole  
saltar; jump  
bebê; baby  
oito; eight  
aldeia; village  
meetr; meet  
raiz; root  
comprar; buy  
levantar; raise  
empurrer; push  
sete; seven  
parágrafo; paragraph  
terceiro; third  
held; held  
cabelo; hair  
descrever; describe  
cozinheiro; cook  
piso; floor  
resultar; result  
queimar; burn  
hill; hill  
seguro; safe
cat; cat  
século; century  
considerar; consider  
bit; bit/piece  
costa; coast  
cópia; copy  
frase; phrase  
silencioso; silent  
arear; sand  
rolo; roll  
temperatura; temperature  
dedo; finger  
indústria; industry  
valor; value  
lutar; fight  
mentira; lie  
bater; beat  
excitar; excite  
natural; natural  
capital; capital  
cadeira; chair  
perigo; danger  
fruta; fruit  
rico; rich  
grosso; thick  
soldado; soldier  
processo; process  
operar; operate  
prática; practice  
separar; separate  
médico; doctor  
proteger; protect  
colheito; crop  
moderno; modern  
elemento; element  
acertar; hit  
estudante; student  
canto; corner/song  
festa; party  
fornecimento; supply  
cujo; whose  
localizar; locate  
anel; ring  
caráter; character  
inseto; insect  
capturar; catch  
período; period  
indicar; indicate  
rádio; radio  
átomo; atom  
humano; human  
efeito; effect  
elétrico; electric  
osso; bone  
trilho; rail  
imaginar; imagine  
fornecer; provide  
concordar; agree  
mulher; woman  
capitão; captain  
sharp; sharp  
asa; wing  
criar; create  
vizinho; neighbor  
lavagem; wash  
batr; crowd  
multidão; crowd  
milhar; thousand  
comparar; compare  
poema; poem  
corda; string  
sino; bell  
depender; depend  
carne; meat  
esfregar; rub  
tubo; tube  
famoso; famous  
dólar; dollar  
córrego; stream  
medo; fear  
fino; thin  
triângulo; triangle  
planeta; planet  
apressar; hurry  
chefe; chief  
colônia; colony  
relógio; clock  
mino; mine  
amarrar; tie  
introduzir; enter/introduce  
fresco; fresh  
pesquisa; search/research  
amarelo; yellow  
pistolar; gun  
permitir; allow  
impressão; print  
local; spot/place  
deserto; desert  
terno; suit  
atual; current  
elevador; lift  
aumentar; rise/increase  
chegar; arrive  
mestre; master  
trilha; track  
divisão; division  
folha; sheet  
substância; substance  
favorecer; favor  
conectar; connect
pós; post  
acorde; chord  
gordura; fat  
original; original  
share; share  
estação; station  
pão; bread  
cobrar; charge  
adequado; proper  
bar; bar  
oferta; offer  
segmento; segment  
escravo; slave  
pato; duck  
instant; instant  
mercado; market  
grau; degree  
pinto; chick  
caro; dear/expensive  
inimigo; enemy  
responder; reply  
bebir; drink  
ocorrer; occur  
apoio; support  
discurso; speech  
natureza; nature  
gama; range  
vapor; steam  
movimento; motion  
caminho; path  
líquido; liquid  
log; log  
quociente; quotient  
dente; tooth  
casca; shell  
pescoço; neck  
oxigênio; oxygen  
açúcar; sugar  
morte; death  
habilidade; skill  
temporada; season  
solução; solution  
ímã; magnet  
prata; silver  
obrigar; thank/oblige  
ramo; branch  
sufixo; suffix  
especialmente; especially  
figo; fig  
enorme; huge  
irmã; sister  
aço; steel  
discutir; discuss  
similar; similar  
orientar; guide  
contagem; count  
maçã; apple  
casaco; coat  
massa; mass  
cartão; card  
banda; band  
deslizamento; slip  
vitória; victory  
sonhar; dream  
condição; condition  
alimentação; feed  
ferramentar; tool  
total; total  
básico; basic  
cheirar; smell  
valer; value  
nem; nor/neither  
duplo; double  
assento; seat  
continuar; continue  
bloco; block  
gráfico; chart  
chapéu; hat  
vender; sell  
sucesso; success  
companhia; company  
subtrair; subtract  
evento; event  
negócio; deal/business  
mergulho; swim/dive  
prazo; term/period  
oposto; opposite  
esposo; wife  
sapato; shoe  
ombro; shoulder  
propagação; spread  
organizar; arrange  
acampamento; camp  
inventar; invent  
algodãor; cotton  
nascer; born  
determinar; determine  
nove; nine  
caminhão; truck  
ruir; fall/collapse  
nível; level  
oportunidade; chance  
trecho; stretch/passage  
brilho; shine  
propriedade; property  
coluna; column  
moléculo; molecule  
selecione; select  
errar; wrong/miss  
cinza; gray  
repetição; repeat  
exigir; require  
preparar; prepare  
sal; salt  
nariz; nose  
plural; plural  
raivo; anger  
reivindicação; claim  
continente; continent
