jak; how
projekt; project / design
słaby; weak
eksperyment; experiment
dolny; lower / bottom
klucz; key
żelazo; iron
pojedynczy; single / individual
kij; stick / bat
mieszkać; to live / reside
dwadzieścia; twenty
skóra; skin / leather
uśmiech; smile
marszczyć; to wrinkle / frown
otwór; hole / opening
skok; jump / leap
osiem; eight
wieś; village
spotkać; to meet
korzeń; root
kupić; to buy
podnieść; to lift / raise
rozwiązanie; solution
metal; metal
czy; whether / if
pchnięcie; push / thrust
siedem; seven
trzeci; third
held; trzymał / held
włos; hair
opisanie; description
kucharz; cook / chef
piętro; floor / storey
albo; or / either
wynik; result / outcome
palić; to burn / smoke
wzgórze; hill
bezpieczny; safe / secure
kot; cat
rozważać; to consider
typ; type / kind
kawałek; piece / bit
wybrzeże; coast / shore
kopać; to dig / kick
zwrot; return / phrase
piasek; sand
gleba; soil / ground
rolka; roll / reel
temperatura; temperature
palec; finger / toe
przemysł; industry
wartość; value / worth
walka; fight / struggle
kłamstwo; lie / falsehood
pokonać; to defeat / overcome
podniecać; to excite / arouse
naturalny; natural
widok; view / sight
poczucie; feeling / sense
kapitał; capital
krzesło; chair
niebezpieczeństwo; danger
owoc; fruit
bogaty; rich / wealthy
gruby; thick / fat
żołnierz; soldier
proces; process
pracować; to work
praktyka; practice
oddzielny; separate
lekarz; doctor
prosić; to ask / request
ochrona; protection
uprawa; cultivation / crop
nowoczesny; modern
element; element / component
uderzać; to hit / strike
uczeń; student / pupil
narożnik; corner
zasilanie; power supply
lokalizować; to locate
pierścień; ring
owad; insect
złapać; to catch
okres; period / term
wskazywać; to indicate / point
radio; radio
zabrać; to take away
ludzki; human
efekt; effect
elektryczny; electric
oczekiwać; to expect
kość; bone
szyna; rail
wyobrazić; to imagine
zapewniać; to ensure / provide
zgadzać; to agree
łagodny; gentle / mild
kobieta; woman
kapitan; captain
odgadnąć; to guess
konieczny; necessary
ostry; sharp
skrzydło; wing
stworzyć; to create
sąsiad; neighbor
myć; to wash
nietoperz; bat
raczej; rather
tłum; crowd
kukurydza; corn / maize
porównać; to compare
poemat; poem
sznur; string / rope
dzwon; bell
zależeć; to depend
mięso; meat
trzeć; to rub / grate
rurka; tube / pipe
słynny; famous
dolar; dollar
strumień; stream
strach; fear
cienki; thin / slender
trójkąt; triangle
planeta; planet
pospiesz; hurry / rush
szef; boss / chief
kolonia; colony
zegary; clocks
kopalnia; mine
krawat; tie
wejść; to enter
świeży; fresh
wysłać; to send
żółty; yellow
pistolet; gun / pistol
dopuszczać; to allow / admit
drukuj; print
martwy; dead
pustynia; desert
garnitur; suit
aktualny; current / up-to-date
wyciąg; extract / lift
róża; rose
przyjazd; arrival
mistrz; master / champion
tor; track / lane
rodzic; parent
brzeg; shore / edge
podział; division / split
arkusz; sheet
substancja; substance
faworyzować; to favor / prefer
podłączyć; to connect / plug in
wydać; to spend / issue / publish
akord; chord / agreement
tłuszcz; fat / grease
zadowolony; satisfied / content
oryginalny; original
akcja; action / campaign / share (finance)
stacja; station
tata; dad / father
chleb; bread
naładować; to charge / load
właściwy; proper / appropriate
bar; bar / pub
oferta; offer
segment; segment / section
niewolnik; slave
kaczka; duck
błyskawiczny; lightning / instant
rynek; market
stopień; degree / grade / step
wypełnić; to fill / complete
pisklę; chick
droga; road / way
wróg; enemy
odpowiedź; reply / answer
występować; to occur / perform
wsparcie; support / assistance
mowa; speech / language
natura; nature
zakres; range / scope
parowy; steam
ścieżka; path / track
ciecz; liquid / fluid
zaloguj; log in
iloraz; quotient
ząb; tooth
powłoka; coating / shell
szyja; neck
tlen; oxygen
cukier; sugar
dość; enough / rather
umiejętność; skill / ability
sezon; season
rozwiązać; to solve / untie
magnes; magnet
srebrny; silver
dziękować; to thank
gałąź; branch
przyrostek; suffix
szczególnie; especially / particularly
figa; fig
bać; to fear
ogromny; enormous / huge
siostra; sister
stal; steel
omówić; to discuss
podobny; similar
przewodnik; guide / conductor
doświadczenie; experience
jabłko; apple
kupiona; bought (feminine past)
doprowadzić; to lead / bring about
boisko; field / pitch
płaszcz; coat
masa; mass
karta; card / map
lina; rope / line
poślizg; slip / skid
zwycięstwo; victory
śnić; to dream
wieczór; evening
rss; (abbrev., likely typo)
narzędzie; tool / instrument
całkowity; total / complete
podstawowy; basic / primary
zapach; smell / scent
dolina; valley
ani; neither / nor
podwójny; double / dual
siedziba; headquarters / seat
blok; block
wykres; chart / graph
kapelusz; hat
sprzedać; to sell
sukces; success
firma; company / firm
odejmować; to subtract
wydarzenie; event / occurrence
szczególność; detail / peculiarity
pływać; to swim
termin; term / deadline
naprzeciwko; opposite / across from
żona; wife
but; shoe / boot
rozłożyć; to spread / unfold
zorganizować; to organize / arrange
obóz; camp
wymyślać; to invent / make up
bawełna; cotton
urodzony; born
określić; to define / determine
kwarta; quarter
dziewięć; nine
ciężarówka; truck / lorry
hałas; noise
poziom; level
szansa; chance / opportunity
odcinek; episode / section
rzucać; to throw / cast
połysk; shine / gloss
właściwość; property / feature
kolumna; column
cząsteczka; particle / molecule
wybierać; to choose / select
szary; gray / grey
powtórzyć; to repeat
wymagać; to require
przygotować; to prepare
sól; salt
nos; nose
złość; anger
oświadczenie; statement / declaration
kontynent; continent
